product_name,total_revenue,total_cost,net_profit,Marketing Ad Spend,True Net Profit,Return on Ad Spend,Net Margin %,,,,
Ergonomic Desk Wedge,67548,23400,44148,11960,32188,5.65,48%,,,,
Anti-Spill Tumbler,35061,11700,23361,8502,14859,4.12,42%,,,,
Sunset LED Ambient Lamp,6392,2000,4392,1498,2894,4.27,45%,,,,
Magnetic Cable Organizer,2093,560,1533,3000,-1467,0.70,-70%,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Manufacturing parameters (unit_cost) and transaction records (quantity_sold, selling_price) are queried directly from the product_catalog and sales_orders MySQL database tables.",,,,,,,,,,,
,,,,,,,,,,,
Marketing operational costs (Ad Spend) represent integrated traffic acquisition data from Meta Ads Manager to compute true blended retail margins.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Target Acquisition Performance (Ad Cost Per Unit): Base calculations assume an optimized marketing performance model with localized ad costs per unit:,,,,,,,,,,,
,,,,,,,,,,,
Ergonomic Desk Wedge: ~?230 per unit,,,,,,,,,,,
,,,,,,,,,,,
Anti-Spill Tumbler: ~?218 per unit,,,,,,,,,,,
,,,,,,,,,,,
Magnetic Cable Organizer: ~?214 per unit,,,,,,,,,,,
,,,,,,,,,,,
Sunset LED Ambient Lamp: ~?375 per unit (inefficient/testing phase),,,,,,,,,,,
